"column_label","short_name","description","value_map"
"disbursal_currency","Disbursal currency","Currency loan in which loan is disbursed","{ ""AFN"": ""Afghan afghani"",""ALL"": ""Albanian lek"",""AMD"": ""Armenian dram"",""AZN"": ""Azerbaijani manat"",""BAM"": ""Bosnia and Herzegovina convertible mark"",""BIF"": ""Burundian franc"",""BOB"": ""Boliviano"",""CDF"": ""Congolese franc"",""CLP"": ""Chilean peso"",""COP"": ""Colombian peso"",""CRC"": ""Costa Rican colon"",""DOP"": ""Dominican peso"",""EUR"": ""Euro"",""GEL"": ""Georgian lari"",""GHS"": ""Ghanaian cedi"",""GTQ"": ""Guatemalan quetzal"",""HNL"": ""Honduran lempira"",""HTG"": ""Haitian gourde"",""IDR"": ""Indonesian rupiah"",""ILS"": ""Israeli new shekel"",""INR"": ""Indian rupee"",""IQD"": ""Iraqi dinar"",""JOD"": ""Jordanian dinar"",""KES"": ""Kenyan shilling"",""KGS"": ""Kyrgyzstani som"",""KHR"": ""Cambodian riel"",""LBP"": ""Lebanese pound"",""LKR"": ""Sri Lankan rupee"",""LRD"": ""Liberian dollar"",""MDL"": ""Moldovan leu"",""MNT"": ""Mongolian tugrik"",""MXN"": ""Mexican peso"",""MZN"": ""Mozambican metical"",""NGN"": ""Nigerian naira"",""NIO"": ""Nicaraguan cordoba"",""NPR"": ""Nepalese rupee"",""PEN"": ""Peruvian nuevo sol"",""PHP"": ""Philippine peso"",""PKR"": ""Pakistani rupee"",""PYG"": ""Paraguayan guarani"",""RWF"": ""Rwandan franc"",""SDG"": ""Sudanese pound"",""SLL"": ""Sierra Leonese leone"",""TJS"": ""Tajikistani somoni"",""TZS"": ""Tanzanian shilling"",""UAH"": ""Ukrainian hyrvnia"",""UGX"": ""Ugandan shilling"",""USD"": ""United States dollar"",""VND"": ""Vietnamese dong"",""WST"": ""Samoan tala"",""XAF"": ""CFA franc BEAC"",""XOF"": ""CFA franc BCEAO"",""YER"": ""Yemeni rial"",""ZMK"": ""Zambian kwacha"" }"
"due_diligence_type","Due diligence","Due diligence type","NaN"
"funded_amount","Funded amount","Amount of the loan funded by Kiva lenders","NaN"
"funded_date","Funded date","The time at which the loan became fully funded (funded_amount = loan_amount)","NaN"
"gender_ratio","Gender ratio","Gender ratio","NaN"
"journal_entries","Journal entries","Updates about loan from Kiva or loan partner","NaN"
"lender_country_code","Lender country code","Country code of lender","{ ""AF"": ""Afghanistan"",""AX"": ""?land Islands"",""AL"": ""Albania"",""DZ"": ""Algeria"",""AS"": ""American Samoa"",""AD"": ""Andorra"",""AO"": ""Angola"",""AI"": ""Anguilla"",""AQ"": ""Antarctica"",""AG"": ""Antigua and Barbuda"",""AR"": ""Argentina"",""AM"": ""Armenia"",""AW"": ""Aruba"",""AU"": ""Australia"",""AT"": ""Austria"",""AZ"": ""Azerbaijan"",""BS"": ""Bahamas (the)"",""BH"": ""Bahrain"",""BD"": ""Bangladesh"",""BB"": ""Barbados"",""BY"": ""Belarus"",""BE"": ""Belgium"",""BZ"": ""Belize"",""BJ"": ""Benin"",""BM"": ""Bermuda"",""BT"": ""Bhutan"",""BO"": ""Bolivia, Plurinational State of"",""BQ"": ""Bonaire, Sint Eustatius and Saba"",""BA"": ""Bosnia and Herzegovina"",""BW"": ""Botswana"",""BV"": ""Bouvet Island"",""BR"": ""Brazil"",""IO"": ""British Indian Ocean Territory (the)"",""BN"": ""Brunei Darussalam"",""BG"": ""Bulgaria"",""BF"": ""Burkina Faso"",""BI"": ""Burundi"",""CV"": ""Cabo Verde"",""KH"": ""Cambodia"",""CM"": ""Cameroon"",""CA"": ""Canada"",""KY"": ""Cayman Islands (the)"",""CF"": ""Central African Republic (the)"",""TD"": ""Chad"",""CL"": ""Chile"",""CN"": ""China"",""CX"": ""Christmas Island"",""CC"": ""Cocos (Keeling) Islands (the)"",""CO"": ""Colombia"",""KM"": ""Comoros"",""CG"": ""Congo"",""CD"": ""Congo (the Democratic Republic of the)"",""CK"": ""Cook Islands (the)"",""CR"": ""Costa Rica"",""CI"": ""C™te d'Ivoire"",""HR"": ""Croatia"",""CU"": ""Cuba"",""CW"": ""Cura?ao"",""CY"": ""Cyprus"",""CZ"": ""Czech Republic (the)"",""DK"": ""Denmark"",""DJ"": ""Djibouti"",""DM"": ""Dominica"",""DO"": ""Dominican Republic (the)"",""EC"": ""Ecuador"",""EG"": ""Egypt"",""SV"": ""El Salvador"",""GQ"": ""Equatorial Guinea"",""ER"": ""Eritrea"",""EE"": ""Estonia"",""ET"": ""Ethiopia"",""FK"": ""Falkland Islands (the) [Malvinas]"",""FO"": ""Faroe Islands (the)"",""FJ"": ""Fiji"",""FI"": ""Finland"",""FR"": ""France"",""GF"": ""French Guiana"",""PF"": ""French Polynesia"",""TF"": ""French Southern Territories (the)"",""GA"": ""Gabon"",""GM"": ""Gambia (The)"",""GE"": ""Georgia"",""DE"": ""Germany"",""GH"": ""Ghana"",""GI"": ""Gibraltar"",""GR"": ""Greece"",""GL"": ""Greenland"",""GD"": ""Grenada"",""GP"": ""Guadeloupe"",""GU"": ""Guam"",""GT"": ""Guatemala"",""GG"": ""Guernsey"",""GN"": ""Guinea"",""GW"": ""Guinea-Bissau"",""GY"": ""Guyana"",""HT"": ""Haiti"",""HM"": ""Heard Island and McDonald Islands"",""VA"": ""Holy See (the) [Vatican City State]"",""HN"": ""Honduras"",""HK"": ""Hong Kong"",""HU"": ""Hungary"",""IS"": ""Iceland"",""IN"": ""India"",""ID"": ""Indonesia"",""IR"": ""Iran (the Islamic Republic of)"",""IQ"": ""Iraq"",""IE"": ""Ireland"",""IM"": ""Isle of Man"",""IL"": ""Israel"",""IT"": ""Italy"",""JM"": ""Jamaica"",""JP"": ""Japan"",""JE"": ""Jersey"",""JO"": ""Jordan"",""KZ"": ""Kazakhstan"",""KE"": ""Kenya"",""KI"": ""Kiribati"",""KP"": ""Korea (the Democratic People's Republic of)"",""KR"": ""Korea (the Republic of)"",""KW"": ""Kuwait"",""KG"": ""Kyrgyzstan"",""LA"": ""Lao People's Democratic Republic (the)"",""LV"": ""Latvia"",""LB"": ""Lebanon"",""LS"": ""Lesotho"",""LR"": ""Liberia"",""LY"": ""Libya"",""LI"": ""Liechtenstein"",""LT"": ""Lithuania"",""LU"": ""Luxembourg"",""MO"": ""Macao"",""MK"": ""Macedonia (the former Yugoslav Republic of)"",""MG"": ""Madagascar"",""MW"": ""Malawi"",""MY"": ""Malaysia"",""MV"": ""Maldives"",""ML"": ""Mali"",""MT"": ""Malta"",""MH"": ""Marshall Islands (the)"",""MQ"": ""Martinique"",""MR"": ""Mauritania"",""MU"": ""Mauritius"",""YT"": ""Mayotte"",""MX"": ""Mexico"",""FM"": ""Micronesia (the Federated States of)"",""MD"": ""Moldova (the Republic of)"",""MC"": ""Monaco"",""MN"": ""Mongolia"",""ME"": ""Montenegro"",""MS"": ""Montserrat"",""MA"": ""Morocco"",""MZ"": ""Mozambique"",""MM"": ""Myanmar"",""NA"": ""Namibia"",""NR"": ""Nauru"",""NP"": ""Nepal"",""NL"": ""Netherlands (the)"",""NC"": ""New Caledonia"",""NZ"": ""New Zealand"",""NI"": ""Nicaragua"",""NE"": ""Niger (the)"",""NG"": ""Nigeria"",""NU"": ""Niue"",""NF"": ""Norfolk Island"",""MP"": ""Northern Mariana Islands (the)"",""NO"": ""Norway"",""OM"": ""Oman"",""PK"": ""Pakistan"",""PW"": ""Palau"",""PS"": ""Palestine, State of"",""PA"": ""Panama"",""PG"": ""Papua New Guinea"",""PY"": ""Paraguay"",""PE"": ""Peru"",""PH"": ""Philippines (the)"",""PN"": ""Pitcairn"",""PL"": ""Poland"",""PT"": ""Portugal"",""PR"": ""Puerto Rico"",""QA"": ""Qatar"",""RE"": ""RÆunion"",""RO"": ""Romania"",""RU"": ""Russian Federation (the)"",""RW"": ""Rwanda"",""BL"": ""Saint BarthÆlemy"",""SH"": ""Saint Helena, Ascension and Tristan da Cunha"",""KN"": ""Saint Kitts and Nevis"",""LC"": ""Saint Lucia"",""MF"": ""Saint Martin (French part)"",""PM"": ""Saint Pierre and Miquelon"",""VC"": ""Saint Vincent and the Grenadines"",""WS"": ""Samoa"",""SM"": ""San Marino"",""ST"": ""Sao Tome and Principe"",""SA"": ""Saudi Arabia"",""SN"": ""Senegal"",""RS"": ""Serbia"",""SC"": ""Seychelles"",""SL"": ""Sierra Leone"",""SG"": ""Singapore"",""SX"": ""Sint Maarten (Dutch part)"",""SK"": ""Slovakia"",""SI"": ""Slovenia"",""SB"": ""Solomon Islands (the)"",""SO"": ""Somalia"",""ZA"": ""South Africa"",""GS"": ""South Georgia and the South Sandwich Islands"",""SS"": ""South Sudan"",""ES"": ""Spain"",""LK"": ""Sri Lanka"",""SD"": ""Sudan (the)"",""SR"": ""Suriname"",""SJ"": ""Svalbard and Jan Mayen"",""SZ"": ""Swaziland"",""SE"": ""Sweden"",""CH"": ""Switzerland"",""SY"": ""Syrian Arab Republic (the)"",""TW"": ""Taiwan (Province of China)"",""TJ"": ""Tajikistan"",""TZ"": ""Tanzania, United Republic of"",""TH"": ""Thailand"",""TL"": ""Timor-Leste"",""TG"": ""Togo"",""TK"": ""Tokelau"",""TO"": ""Tonga"",""TT"": ""Trinidad and Tobago"",""TN"": ""Tunisia"",""TR"": ""Turkey"",""TM"": ""Turkmenistan"",""TC"": ""Turks and Caicos Islands (the)"",""TV"": ""Tuvalu"",""UG"": ""Uganda"",""UA"": ""Ukraine"",""AE"": ""United Arab Emirates (the)"",""GB"": ""United Kingdom (the)"",""US"": ""United States (the)"",""UM"": ""United States Minor Outlying Islands (the)"",""UY"": ""Uruguay"",""UZ"": ""Uzbekistan"",""VU"": ""Vanuatu"",""VE"": ""Venezuela, Bolivarian Republic of˝"",""VN"": ""Viet Nam"",""VG"": ""Virgin Islands (British)"",""VI"": ""Virgin Islands (U.S.)"",""WF"": ""Wallis and Futuna"",""EH"": ""Western Sahara*"",""YE"": ""Yemen"",""ZM"": ""Zambia"",""ZW"": ""Zimbabwe"" }"
"lender_invitee_count","Lender invitee count","Lender invitee count","NaN"
"lender_inviter","Lender inviter","Lender inviter","NaN"
"lender_loan_count","Lender loan count","Count of loans that lender has funded","NaN"
"lender_member_since","Lender member since","Date lender became a Kiva member","NaN"
"lender_occupation","Lender occupation","Lender's occupation","NaN"
"lender_teams_count","Lender teams count","Lender's number of teams","NaN"
"loan_amount","Loan amount","Amount of the loan","NaN"
"loan_id","Loan ID","Identifier unique to loan","NaN"
"loan_status","Loan status","Current status of loan","{ ""fundraising"": ""The loan has not yet been funded."",""funded"": ""This loan request has been completely funded and is not available for new loans by lenders."",""in_repayment"": ""The loan has been disbursed to the borrowers and they are in the process of using the funds and making payments on the loan to the field partner."",""paid"": ""The loan has been paid back in full by the borrower."",""defaulted"": ""When a loan remains delinquent 6 months after the end of the loan payment schedule, the loan becomes defaulted."",""refunded"": ""Occasionally Kiva needs to refund the funded portion of the loan to lenders after the loan has been partially funded, fully funded, or even during repayment."" }"
"num_borrowers","Number of borrowers","Number of borrowers for the loan","NaN"
"num_lenders","Number of lenders","Number of lenders for the loan","NaN"
"paid_amount","Paid amount","Amount of the loan paid back","NaN"
"paid_date","Paid date","Date the loan became fully paid","NaN"
